ISSN,SJR_Q,SJR_H,VHB,FNEGE,CoNRS,HCERE,CORE,sourc,DAEN,AJG,JCR,SNIP,SJR,CiteS,ABDC,VHB4,NF
21932808,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Abel Symposia
00255858,Q3,19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg
18658784,Q3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg
20148534,Q3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abriu
20148526,Q3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abriu
00013374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absatzwirtschaft
10853375,Q3,61,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Abstract and Applied Analysis
16870409,Q3,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abstract and Applied Analysis
18079792,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Abstracta
01925857,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Abstracts of Papers Presented to the American Mathematical Society
01266209,Q4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ABU Technical Review
01902946,Q4,22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academe
22411402,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academia
1018161X,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Academia Economic Papers
18104851,Q4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academia Economic Papers
08660182,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academia Paedagogica Nyiregyhaziensis. Acta Mathematica
20565127,Q2,16,NA,NA,NA,NA,NA,NA,NA,1,26,39,40,39,NA,NA,Academia Revista Latinoamericana de Administracio
10128255,Q2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academia Revista Latinoamericana de Administracio
10696563,Q1,130,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academic Emergency Medicine
15532712,Q1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Emergency Medicine
19253621,Q4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Forensic Pathology
22813993,Q3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Journal of Interdisciplinary Studies
22814612,Q3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Journal of Interdisciplinary Studies
15837904,Q3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Journal of Manufacturing Engineering
0258879X,Q4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Journal of Second Military Medical University
10402446,Q1,162,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academic Medicine
1938808X,Q1,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Medicine
23742895,Q3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Pathology
18762867,Q1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Pediatrics
18762859,Q1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Pediatrics
15457230,Q2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Psychiatry
10429670,Q2,48,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academic Psychiatry
19040008,Q3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Quarter
19364709,Q4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Questions
08954852,Q4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Questions
10766332,Q1,100,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academic Radiology
18784046,Q1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academic Radiology
23354194,Q3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academica Turistica
18553303,Q3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academica Turistica
10963685,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,NA,Academy of Accounting and Financial Studies Journal
15282635,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Accounting and Financial Studies Journal
10879595,NA,17,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Academy of Entrepreneurship Journal
15282686,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Entrepreneurship Journal
15325806,NA,9,NA,NA,NA,NA,C,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Information and Management Sciences Journal
NA,NA,NA,NA,NA,NA,C,CORE2020,NA,NA,NA,NA,NA,NA,NA,Academy of Information and Management Sciences Journal,NA,
15247252,NA,9,NA,NA,NA,NA,C,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Information and Management Sciences Journal
19416067,Q1,82,NA,1,NA,NA,NA,NA,NA,4*,1,1,1,1,A*,A,Academy of Management Annals
19416520,Q1,82,A,1,2,A,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,Academy of Management Annals
21681007,NA,NA,NA,4,NA,NA,NA,NA,1,3,NA,NA,NA,NA,A,B,Academy of Management Discoveries
19480989,NA,NA,NA,1*,NA,NA,NA,NA,NA,4*,4,4,3,2,A*,A+,Academy of Management Journal
19480989,NA,NA,NA,1*,NA,NA,NA,NA,NA,4*,4,4,3,2,A*,A+,Academy of Management Journal
00014273,Q1,336,A+,1*,1,A,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,Academy of Management Journal
1537260X,Q1,83,B,1,2,A,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,Academy of Management Learning & Educatio
19449585,NA,NA,NA,1,NA,NA,NA,NA,NA,4*,1,2,2,1,A*,B,Academy of Management Learning and Educatio
15589080,Q1,138,B,2,NA,A,NA,NA,2,4,8,8,7,8,A,NA,Academy of Management Perspectives
19434529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,B,Academy of Management Perspectives
19303807,NA,NA,NA,1*,NA,NA,NA,NA,NA,4*,2,3,4,3,A*,A+,Academy of Management Review
03637425,Q1,284,A+,1*,1g,A,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,Academy of Management Review
18698182,Q1,21,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,B,B,Academy of Marketing Science Review
10956298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Academy of Marketing Studies Journal
15282678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Academy of Marketing Studies Journal
19396104,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Strategic Management Journal
15441458,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Strategic Management Journal
00445851,Q2,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Acadiensis
17127432,Q2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acadiensis
22215115,Q3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acarina
01328077,Q3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acarina
0044586X,Q1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acarologia
21077207,Q1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acarologia
11243783,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Accademia Nazionale Virgiliana di Scienze Lettere ed Arti. Atti e Memorie
26630583,Q3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Access to Justice in Eastern Europe
26630575,Q3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Access to Justice in Eastern Europe
00014575,Q1,164,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,Accident Analysis & Preventio
18792057,Q1,164,NA,NA,NA,NA,NA,NA,NA,3,14,8,15,10,A*,NA,Accident Analysis and Preventio
08989621,Q2,31,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Accountability in Research
15455815,Q2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accountability in Research
00014664,NA,NA,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accountancy
17457718,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Accountancy Business and the Public Interest
23697407,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accounting
23697393,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accounting
1944592X,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,C,NA,Accounting & Taxatio
1445954X,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,C,NA,Accounting Accountability and Performance
21594260,Q1,59,NA,3,NA,NA,NA,NA,NA,3,11,17,17,19,A,NA,Accounting and Business Research
00014788,Q1,59,B,3,3,B,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Accounting and Business Research
1467629X,Q1,52,NA,3,NA,NA,NA,NA,NA,2,15,23,30,25,A,NA,Accounting and Finance
08105391,Q1,52,C,3,3,B,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Accounting and Finance
15309320,Q4,11,C,NA,NA,NA,NA,NA,1,2,NA,49,48,51,B,NA,Accounting and the Public Interest
17584205,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,13,9,6,A*,A,Accounting Auditing and Accountability Journal
09513574,Q1,105,B,2,2,A,NA,NA,NA,NA,NA,NA,NA,NA,A*,NA,Accounting Auditing and Accountability Journal
14684489,Q1,41,NA,NA,NA,NA,NA,NA,NA,2,NA,31,18,23,A,NA,Accounting Educatio
09639284,Q1,41,C,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Accounting Educatio
10410392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Accounting Educators Journal
14676303,Q1,50,NA,4,NA,NA,NA,NA,NA,3,NA,16,22,16,B,NA,Accounting Forum
01559982,Q1,50,C,4,4,C,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Accounting Forum
01484184,Q4,25,C,4,3,B,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Accounting Historians Journal
23274468,Q4,25,NA,4,NA,NA,NA,NA,NA,2,NA,22,20,14,NA,NA,Accounting Historians Journal
17493374,Q1,31,NA,3,NA,NA,NA,NA,NA,2,NA,16,12,7,A,NA,Accounting History
10323732,Q1,31,C,3,3,B,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Accounting History
2155286X,Q1,22,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,B,NA,Accounting History Review
21552851,Q1,22,NA,3,2,A,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Accounting History Review
09585206,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accounting History Review
15587975,Q1,81,NA,2,NA,NA,NA,NA,NA,3,12,15,15,15,A,NA,Accounting Horizons
08887993,Q1,81,B,2,3,A,NA,NA,2,NA,NA,NA,NA,NA,A,NA,Accounting Horizons
17449499,Q2,22,NA,3,NA,NA,NA,NA,NA,2,NA,45,39,41,A,NA,Accounting in Europe
17449480,Q2,22,C,3,NA,C,NA,NA,1,NA,NA,NA,NA,NA,A,NA,Accounting in Europe
1911382X,Q3,19,C,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,B,NA,Accounting Perspectives
19113838,Q3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,Accounting Perspectives
10309616,Q2,19,C,NA,NA,NA,NA,NA,1,2,NA,46,51,47,B,NA,Accounting Research Journal
15587967,NA,NA,NA,1*,NA,NA,NA,NA,NA,4*,4,3,3,4,A*,NA,Accounting Review
00014826,Q1,168,A+,1*,1,A,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,Accounting Review
13680668,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Accounting, Auditing and Accountability Journal"
21522820,Q2,17,B/C,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,B,NA,"Accounting, Economics and Law  A Convivium"
21946051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,NA,"Accounting, Economics and Law  A Convivium"
07919638,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,C,NA,"Accounting, Finance & Governance Review"
03613682,Q1,140,A,1*,1,A,NA,NA,2,NA,NA,NA,NA,NA,A*,NA,"Accounting, Organization and Society"
18736289,NA,NA,NA,1*,NA,NA,NA,NA,NA,4*,5,5,6,5,A*,A,"ACCOUNTING, ORGANIZATION AND SOCIETY"
00014842,Q1,415,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,Accounts of Chemical Research
15204898,Q1,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accounts of Chemical Research
26172399,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCRA
en cours,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCRA
09491775,Q3,40,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Accreditation and Quality Assurance
14320517,Q3,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accreditation and Quality Assurance
21454493,Q3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACDI Anuario Colombiano de Derecho Internacional
20271131,Q3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACDI Anuario Colombiano de Derecho Internacional
23263253,Q4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACG Case Reports Journal
0889325X,Q2,100,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACI Materials Journal
08893241,Q1,120,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACI Structural Journal
19322232,Q4,11,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACM Communications in Computer Algebra
19322240,Q4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM Communications in Computer Algebra
15443574,Q3,31,NA,NA,NA,NA,B,CORE2020,1,NA,NA,NA,NA,NA,NA,NA,ACM Computers in Entertainment
15443981,NA,NA,NA,NA,NA,NA,B,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,ACM Computers in Entertainment
00104884,NA,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM Computing Reviews
03600300,Q1,172,B,NA,NA,NA,A*,CORE2020,2,NA,NA,NA,NA,NA,NA,NA,ACM Computing Surveys
15577341,Q1,172,NA,NA,NA,NA,A*,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,ACM Computing Surveys
21532184,Q3,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACM Inroads
21532192,Q3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM Inroads
-,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM International Conference Proceeding Series
19361955,Q2,24,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACM Journal on Data and Information Quality
15504832,Q2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM Journal on Emerging Technologies in Computing Systems
15504840,Q2,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM Journal on Emerging Technologies in Computing Systems
15513688,Q2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM SIGBED Review
00952737,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACM SIGCAS Computers and Society
00950033,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,NA,ACM SIGMIS Database
15232867,Q1,78,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACM SIGPLAN Notices
15581160,Q1,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM SIGPLAN Notices
19367228,Q2,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Accessible Computing
15496325,Q1,52,NA,NA,NA,NA,A,CORE2020,2,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Algorithms
15496333,Q1,52,NA,NA,NA,NA,A,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Algorithms
15443558,Q2,53,NA,NA,NA,NA,B,CORE2020,1,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Applied Perceptio
15443965,Q2,53,NA,NA,NA,NA,B,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Applied Perceptio
15443566,Q2,41,NA,NA,NA,NA,B,CORE2020,1,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Architecture and Code Optimizatio
15443973,Q2,41,NA,NA,NA,NA,B,CORE2020,NA,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Architecture and Code Optimizatio
23754699,Q2,15,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ACM Transactions on Asian and Low-Resource Language Information Processing
